Order_ID,Order_Date,Product,Category,Quantity,Price,Region
1098,2025-10-24,Keyboard,Accessories,3,1500.0,North
1099,2025-10-27,Laptop,Electronics,4,55000.0,North
1100,2025-10-30,Smartphone,Electronics,1,25000.0,South
1101,2025-11-02,Laptop,Electronics,4,55000.0,West
1102,2025-11-05,Monitor,Electronics,3,12000.0,South
1103,2025-11-09,Headphones,Accessories,1,2500.0,South
1104,2025-11-12,Mouse,Accessories,4,800.0,East
1105,2025-11-15,Backpack,Bags,4,1800.0,North
1106,2025-11-18,Tablet,Electronics,3,18000.0,West
1107,2025-11-21,Keyboard,Accessories,1,1500.0,East
1108,2025-11-24,Smartwatch,Electronics,3,5000.0,South
1109,2025-11-27,Tablet,Electronics,1,18000.0,North
1110,2025-11-30,Laptop,Electronics,5,55000.0,East
1111,2025-12-03,Tablet,Electronics,2,18000.0,North
1112,2025-12-06,Smartphone,Electronics,2,25000.0,East
1113,2025-12-09,Backpack,Bags,2,1800.0,North
1114,2025-12-12,Printer,Electronics,3,9000.0,South
1115,2025-12-15,Monitor,Electronics,5,12000.0,West
1116,2025-12-18,Backpack,Bags,1,1800.0,South
1117,2025-12-21,Printer,Electronics,4,9000.0,West
1118,2025-12-24,Smartphone,Electronics,1,25000.0,North
1119,2025-12-27,Backpack,Bags,4,1800.0,East
1120,2025-12-31,Mouse,Accessories,1,800.0,South
